gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,fyr,costat
1598,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1598,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1598,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1598,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1598,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1598,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1598,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1598,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1598,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1602,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1602,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1602,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1602,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1602,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1602,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1602,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1602,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1602,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1602,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1632,31/10/2006,2006,INDL,C,D,STD,USD,10,A
1632,31/10/2007,2007,INDL,C,D,STD,USD,10,A
1632,31/10/2008,2008,INDL,C,D,STD,USD,10,A
1632,31/10/2009,2009,INDL,C,D,STD,USD,10,A
1632,31/10/2010,2010,INDL,C,D,STD,USD,10,A
1632,31/10/2011,2011,INDL,C,D,STD,USD,10,A
1632,31/10/2012,2012,INDL,C,D,STD,USD,10,A
1632,31/10/2013,2013,INDL,C,D,STD,USD,10,A
1632,31/10/2014,2014,INDL,C,D,STD,USD,10,A
1632,31/10/2015,2015,INDL,C,D,STD,USD,10,A
1635,30/06/2006,2006,INDL,C,D,STD,USD,6,I
1635,30/06/2007,2007,INDL,C,D,STD,USD,6,I
1635,30/06/2008,2008,INDL,C,D,STD,USD,6,I
1635,30/06/2009,2009,INDL,C,D,STD,USD,6,I
1635,30/06/2010,2010,INDL,C,D,STD,USD,6,I
1635,30/06/2011,2011,INDL,C,D,STD,USD,6,I
1635,30/06/2012,2012,INDL,C,D,STD,USD,6,I
1635,30/06/2013,2013,INDL,C,D,STD,USD,6,I
1651,30/09/2006,2006,INDL,C,D,STD,USD,9,I
1651,30/09/2007,2007,INDL,C,D,STD,USD,9,I
1663,31/12/2006,2006,INDL,C,D,STD,USD,12,I
1663,31/12/2007,2007,INDL,C,D,STD,USD,12,I
1677,31/12/2006,2006,INDL,C,D,STD,USD,12,I
1678,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1678,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1678,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1678,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1678,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1678,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1678,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1678,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1678,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1678,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1689,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1689,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1689,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1689,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1689,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1689,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1689,31/12/2012,2012,INDL,C,D,STD,USD,12,A
