,gvkey,debt_at,debt_ebitda,debt_assets,cash_debt,year
74383,14359,0.289,3.4330000000000003,0.5660000000000001,0.10400000000000001,2010
74395,14359,0.252,2.002,0.542,0.23600000000000002,2011
74407,14359,0.245,2.502,0.529,0.26,2012
74419,14359,0.22399999999999998,1.242,0.486,0.255,2013
74431,14359,0.21,3.875,0.46299999999999997,0.37799999999999995,2014
74443,14359,0.183,3.75,0.41,0.373,2015
74455,14369,0.213,1.44,0.478,0.239,2006
74467,14369,0.18899999999999997,1.077,0.446,0.262,2007
74479,14369,0.175,0.961,0.425,0.364,2008
74491,14369,0.177,1.054,0.408,0.39899999999999997,2009
74503,14369,0.15,1.0659999999999998,0.395,0.385,2010
74515,14369,0.14400000000000002,1.051,0.40700000000000003,0.364,2011
74527,14369,0.13699999999999998,1.06,0.41100000000000003,0.373,2012
74539,14369,0.13699999999999998,1.295,0.44,0.322,2013
74551,14369,0.139,4.29,0.46399999999999997,0.096,2014
74563,14369,0.18100000000000002,1.989,0.48,0.054000000000000006,2015
74575,14370,0.139,1.334,0.629,0.078,2006
74587,14370,0.125,1.155,0.625,0.08900000000000001,2007
74599,14370,0.13,1.165,0.633,0.095,2008
74611,14370,0.141,2.97,0.606,0.192,2009
74623,14370,0.11,1.7819999999999998,0.596,0.113,2010
74635,14370,0.10300000000000001,1.169,0.645,0.042,2011
74647,14370,0.105,1.239,0.635,0.016,2012
74659,14370,0.09300000000000001,1.011,0.626,0.073,2013
74671,14370,0.07,0.638,0.593,0.091,2014
74683,14370,0.077,0.696,0.603,0.07200000000000001,2015
74695,14384,0.203,0.742,0.469,0.17300000000000001,2006
74707,14412,0.28800000000000003,1.6580000000000001,0.799,0.067,2006
74719,14412,0.18,0.9490000000000001,0.742,0.235,2007
74731,14412,0.21600000000000003,1.9140000000000001,0.6679999999999999,-0.021,2008
74743,14412,0.34700000000000003,118.18299999999999,0.633,-0.151,2009
74755,14412,0.314,2.182,0.633,0.159,2010
74767,14412,0.221,1.4269999999999998,0.607,0.243,2011
74779,14412,0.27699999999999997,2.7319999999999998,0.584,0.27,2012
74791,14412,0.253,2.7489999999999997,0.581,-0.040999999999999995,2013
74803,14412,0.289,2.571,0.6559999999999999,0.135,2014
74815,14412,0.381,3.8110000000000004,0.6920000000000001,0.02,2015
74827,14418,0.598,6.218,0.838,0.068,2006
74839,14418,0.562,6.33,0.82,0.068,2007
74851,14418,0.485,5.98,0.768,0.06,2008
74863,14418,0.5820000000000001,10.899000000000001,0.809,0.039,2009
74875,14418,0.634,15.7,0.8420000000000001,0.032,2010
74887,14418,0.541,9.921,0.721,0.032,2011
74899,14418,0.48700000000000004,8.318999999999999,0.655,0.038,2012
74911,14418,0.524,7.65,0.695,0.05,2013
74923,14418,0.511,6.101,0.6920000000000001,0.07200000000000001,2014
74935,14418,0.512,7.172999999999999,0.6859999999999999,0.059000000000000004,2015
74936,14438,0.273,1.547,0.44299999999999995,0.364,2012
74948,14438,0.341,1.984,0.564,0.298,2013
74960,14438,0.483,2.859,0.703,0.205,2014
74972,14438,0.503,2.967,0.728,0.20600000000000002,2015
74984,14450,0.41100000000000003,6.247000000000001,0.735,-0.012,2006
74986,14450,0.527,6.781000000000001,0.804,0.005,2007
74998,14466,0.193,1.425,0.5770000000000001,0.128,2006
