,Model,Independent variable1,Independent variable2,Independent variable3,Adjusted R2,Coefficient1,Coefficient2,Coefficient3
175,Fixed effect,tropical_storm_count,tornado_injury,GDP_per_capita,0.06012318662716942,0.0008992626580623094,6.41028457337587e-05,-2.6775879285635957
176,Fixed effect,tropical_storm_count,tornado_injury,heat_death,0.06020111315104959,0.000911367100451061,5.8213844927922685e-05,-0.0012401795189431574
177,Fixed effect,tropical_storm_count,tornado_injury,winter_storm_count,0.06101024471725336,0.0009874224048812543,4.7201338555574116e-05,0.0002940954234716239
178,Fixed effect,tropical_storm_count,flood_count,flood_death,0.06039232086230428,0.0008637873554249179,6.741322887720523e-05,0.007455548259118242
179,Fixed effect,tropical_storm_count,flood_count,avg_tornado_scale,0.060028763419259445,0.0008691552120723739,0.00017564964661875016,0.017880688791594365
180,Fixed effect,tropical_storm_count,flood_count,PerCapitaIncome,0.06001367896298504,0.0008565961761116648,0.00020379763926741472,-1.9629265563407064e-06
181,Fixed effect,tropical_storm_count,flood_count,GDP_per_capita,0.06028075574595815,0.0008340112119842021,0.00019920241063589987,-2.6243827584489585
182,Fixed effect,tropical_storm_count,flood_count,heat_death,0.06032435293445859,0.0008537806866367176,0.0001798275055391803,-0.0011868318431423133
183,Fixed effect,tropical_storm_count,flood_count,winter_storm_count,0.06096926433604388,0.0009629125829617076,0.00010785396097330106,0.0002791733993745078
184,Fixed effect,tropical_storm_count,flood_death,avg_tornado_scale,0.060602678694532286,0.0008722341020158496,0.0080049874124073,0.017315707865230394
185,Fixed effect,tropical_storm_count,flood_death,PerCapitaIncome,0.060601064637569646,0.0008693243830786081,0.008570124266836314,-1.9529343052930656e-06
186,Fixed effect,tropical_storm_count,flood_death,GDP_per_capita,0.060863289731532655,0.0008454507359338159,0.008463138290958946,-2.606773412474913
187,Fixed effect,tropical_storm_count,flood_death,heat_death,0.06101573225491519,0.000847544624905624,0.008545371786657522,-0.001288100087699594
188,Fixed effect,tropical_storm_count,flood_death,winter_storm_count,0.06152340399329781,0.0009355703930175604,0.00690206931952543,0.0002693219169612062
189,Fixed effect,tropical_storm_count,avg_tornado_scale,PerCapitaIncome,0.05983027462813717,0.0009632781698714255,0.019174317804122296,-1.5873029186089451e-06
190,Fixed effect,tropical_storm_count,avg_tornado_scale,GDP_per_capita,0.06010664501506213,0.0009375932726539153,0.018823290193918707,-2.4227669609065794
191,Fixed effect,tropical_storm_count,avg_tornado_scale,heat_death,0.06027747077058532,0.0009374570801596081,0.01995966400363849,-0.0012352310259985716
