,Model,Independent variable1,Independent variable2,Independent variable3,Independent variable4,Adjusted R2,Coefficient1,Coefficient2,Coefficient3,Coefficient4
101,Fixed effect,tornado_count,tropical_storm_count,flood_count,avg_tornado_scale,0.06027051742771394,0.00029855269804514187,0.0007582721912188685,0.00011813530401593911,0.015369209849327065
102,Fixed effect,tornado_count,tropical_storm_count,flood_count,PerCapitaIncome,0.06029484876113356,0.0003138358903021098,0.0007394882369515617,0.0001400410601280936,-1.8307075227669992e-06
103,Fixed effect,tornado_count,tropical_storm_count,flood_count,GDP_per_capita,0.06055359585437747,0.00031015215659842743,0.0007183889813704627,0.00013666156408410148,-2.519263807802583
104,Fixed effect,tornado_count,tropical_storm_count,flood_count,heat_death,0.0607673426736246,0.00037829670091660424,0.0007063930189804238,0.0001023031333437263,-0.0013244201348843983
105,Fixed effect,tornado_count,tropical_storm_count,flood_count,winter_storm_count,0.061266094204367905,0.00031990050690029124,0.0008409234533419098,4.422766423346355e-05,0.000277114955904915
106,Fixed effect,tornado_count,tropical_storm_count,flood_death,avg_tornado_scale,0.06079697076342183,0.00026844283538854694,0.0007538207436563502,0.006970547175994697,0.014731537020494824
107,Fixed effect,tornado_count,tropical_storm_count,flood_death,PerCapitaIncome,0.06084560625103741,0.0002886666134098408,0.0007395332297289946,0.007389300305778938,-1.8628619059914798e-06
108,Fixed effect,tornado_count,tropical_storm_count,flood_death,GDP_per_capita,0.06109792535939795,0.0002843372155759765,0.0007180172622292197,0.007306076661541397,-2.5238585408411787
109,Fixed effect,tornado_count,tropical_storm_count,flood_death,heat_death,0.06137674846858643,0.0003363059854933562,0.0006915484352953385,0.007192354949836585,-0.0013809131586791051
110,Fixed effect,tornado_count,tropical_storm_count,flood_death,winter_storm_count,0.061715663488732364,0.0002653455829838005,0.0008139308779145118,0.005870172642280995,0.0002610453384249861
111,Fixed effect,tornado_count,tropical_storm_count,avg_tornado_scale,PerCapitaIncome,0.06027933662109508,0.0003602143434564299,0.0007861510536089234,0.01522069277198186,-1.5437475490572687e-06
112,Fixed effect,tornado_count,tropical_storm_count,avg_tornado_scale,GDP_per_capita,0.060540164615775494,0.0003550407095605888,0.0007637399007661099,0.014937160324578053,-2.3552396640617985
113,Fixed effect,tornado_count,tropical_storm_count,avg_tornado_scale,heat_death,0.06085544006170596,0.00040276542382449034,0.0007347021059941589,0.015471484705363006,-0.001356815306720685
